baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,p_holm
results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_per_query/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10,ndcg@10,648,0.406231,0.424627,0.018395,0.007537,0.02946,0.0012,0.95,10000,13,0.001200
results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_per_query/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,ndcg@10,648,0.406231,0.435211,0.02898,0.013971,0.044443,0.0002,0.95,10000,13,0.000400
