timestamp_utc,run_name,dataset,sweep_name,bm25_run_id,dense_run_id,dense_model,rrf_k,bm25_weight,dense_weight,bm25_depth,dense_depth,bm25_realized_depth_mean,dense_realized_depth_mean,realized_depth_mean,per_query_metrics_path,ndcg@1,recall@1,mrr@1,map@1,ndcg@5,recall@5,mrr@5,map@5,ndcg@10,recall@10,mrr@10,map@10,ndcg@100,recall@100,mrr@100,map@100
2026-09-06T20:42:35+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.1_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,0.1,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.1_bd1000_dd1000.per_query.csv,0.556667,0.5365,0.556667,0.556667,0.672666,0.765778,0.651556,0.634824,0.698842,0.8435,0.660299,0.646792,0.719192,0.932667,0.663605,0.651792
2026-09-06T20:42:36+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.25_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,0.25,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.25_bd1000_dd1000.per_query.csv,0.573333,0.549,0.573333,0.573333,0.680704,0.767111,0.662944,0.644407,0.71496,0.866111,0.67546,0.660674,0.731869,0.943333,0.677887,0.664668
2026-09-06T20:42:36+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.5_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,0.5,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw0.5_bd1000_dd1000.per_query.csv,0.586667,0.561333,0.586667,0.586667,0.700287,0.793222,0.678889,0.662657,0.727191,0.870111,0.688136,0.675872,0.747037,0.958333,0.69137,0.680743
2026-09-06T20:42:37+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw1.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,1.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw1.0_bd1000_dd1000.per_query.csv,0.596667,0.569111,0.596667,0.596667,0.716501,0.817222,0.692056,0.676435,0.735986,0.871889,0.698238,0.686595,0.759748,0.973333,0.702707,0.692771
2026-09-06T20:42:37+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw2.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,2.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw2.0_bd1000_dd1000.per_query.csv,0.613333,0.583278,0.613333,0.613333,0.728049,0.828333,0.703944,0.688238,0.749435,0.888556,0.71071,0.699471,0.768937,0.976667,0.713856,0.70405
2026-09-06T20:42:38+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw4.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,4.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw4.0_bd1000_dd1000.per_query.csv,0.633333,0.603278,0.633333,0.633333,0.733672,0.820556,0.711667,0.699372,0.757492,0.890222,0.720325,0.710512,0.774524,0.966667,0.723176,0.714542
2026-09-06T20:42:38+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw10.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,10.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw10.0_bd1000_dd1000.per_query.csv,0.633333,0.601611,0.633333,0.633333,0.737603,0.829722,0.714111,0.702252,0.755183,0.880889,0.720257,0.710364,0.773942,0.963333,0.72383,0.714906
2026-09-06T20:42:39+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw20.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,20.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw20.0_bd1000_dd1000.per_query.csv,0.633333,0.602611,0.633333,0.633333,0.72979,0.818056,0.708278,0.69553,0.751246,0.879222,0.715775,0.705976,0.770316,0.963333,0.719454,0.710503
2026-09-06T20:42:39+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw50.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,50.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw50.0_bd1000_dd1000.per_query.csv,0.623333,0.592611,0.623333,0.623333,0.723632,0.815389,0.700833,0.688096,0.744449,0.874222,0.708669,0.698244,0.764695,0.963333,0.712411,0.703135
2026-09-06T20:42:40+00:00,scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw100.0_bd1000_dd1000,scifact,dense_weight,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,BAAI/bge-base-en-v1.5,60,1.0,100.0,1000,1000,954.3833333333333,1000.0,1000.0,results/fusion_sweep_per_query/scifact_dense_weight_scifact_dense_bge_512_rrf60_bw1.0_dw100.0_bd1000_dd1000.per_query.csv,0.616667,0.585944,0.616667,0.616667,0.719691,0.815389,0.695667,0.68293,0.740391,0.874222,0.703386,0.692961,0.760572,0.963333,0.707075,0.697808
2026-09-06T20:42:41+00:00,nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf0_bw1.0_dw1.0_bd1000_dd1000,nfcorpus,rrf_k,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,BAAI/bge-base-en-v1.5,0,1.0,1.0,1000,1000,384.89935064935065,1000.0,1000.0,results/fusion_sweep_per_query/nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf0_bw1.0_dw1.0_bd1000_dd1000.per_query.csv,0.490712,0.071745,0.504644,0.504644,0.408357,0.144318,0.577554,0.340847,0.376614,0.18254,0.584273,0.282233,0.347833,0.337189,0.590136,0.199419
2026-09-06T20:42:41+00:00,nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf1_bw1.0_dw1.0_bd1000_dd1000,nfcorpus,rrf_k,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,BAAI/bge-base-en-v1.5,1,1.0,1.0,1000,1000,384.89935064935065,1000.0,1000.0,results/fusion_sweep_per_query/nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf1_bw1.0_dw1.0_bd1000_dd1000.per_query.csv,0.48452,0.068558,0.498452,0.498452,0.40891,0.145241,0.575645,0.340651,0.375421,0.18284,0.582438,0.280818,0.346922,0.337189,0.588328,0.198267
2026-09-06T20:42:41+00:00,nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf2_bw1.0_dw1.0_bd1000_dd1000,nfcorpus,rrf_k,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,BAAI/bge-base-en-v1.5,2,1.0,1.0,1000,1000,384.89935064935065,1000.0,1000.0,results/fusion_sweep_per_query/nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf2_bw1.0_dw1.0_bd1000_dd1000.per_query.csv,0.487616,0.068438,0.501548,0.501548,0.411034,0.145706,0.577915,0.343037,0.375641,0.182378,0.5846,0.280984,0.347192,0.337383,0.590217,0.198466
2026-09-06T20:42:42+00:00,nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf5_bw1.0_dw1.0_bd1000_dd1000,nfcorpus,rrf_k,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,BAAI/bge-base-en-v1.5,5,1.0,1.0,1000,1000,384.89935064935065,1000.0,1000.0,results/fusion_sweep_per_query/nfcorpus_rrf_k_nfcorpus_dense_bge_512_rrf5_bw1.0_dw1.0_bd1000_dd1000.per_query.csv,0.475232,0.068318,0.49226,0.49226,0.411006,0.144248,0.574974,0.344969,0.376527,0.181453,0.581814,0.282869,0.348162,0.338378,0.587472,0.199739
