generation_run_name,generation_run_id,retrieved_top_k,max_context_words,question_stratum,num_answerable_queries,exact_match,token_f1,evidence_recall_at_budget,context_sufficiency_at_budget,context_words_mean,context_words_p50,context_words_p95,context_words_max,prompt_eval_tokens_mean,query_latency_p50_ms,query_latency_p95_ms,response_format_valid_rate,answerable_false_abstention_rate,null_abstention_rate,abstention_separation,output_cap_hit_rate
multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,516585dfd67cfbef,3,768,all_answerable,264,0.6325757575757576,0.6401515151515151,0.3494318181818182,0.10606060606060606,759.2,768.0,768.0,768,1359.5766666666666,5038.1245,6012.6879625,0.92,0.11363636363636363,0.9166666666666666,0.803030303030303,0
multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,516585dfd67cfbef,3,768,comparison_query,104,0.5384615384615384,0.5448717948717948,0.4583333333333333,0.17307692307692307,759.2,768.0,768.0,768,1359.5766666666666,5038.1245,6012.6879625,0.92,0.11363636363636363,0.9166666666666666,0.803030303030303,0
multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,516585dfd67cfbef,3,768,inference_query,89,0.797752808988764,0.8127340823970037,0.25749063670411987,0.033707865168539325,759.2,768.0,768.0,768,1359.5766666666666,5038.1245,6012.6879625,0.92,0.11363636363636363,0.9166666666666666,0.803030303030303,0
multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,516585dfd67cfbef,3,768,temporal_query,71,0.5633802816901409,0.5633802816901409,0.3051643192488263,0.09859154929577464,759.2,768.0,768.0,768,1359.5766666666666,5038.1245,6012.6879625,0.92,0.11363636363636363,0.9166666666666666,0.803030303030303,0
multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,a4b860a2ee05c65a,5,1280,all_answerable,264,0.6742424242424242,0.6792929292929293,0.4494949494949495,0.18181818181818182,1271.7266666666667,1280.0,1280.0,1280,2101.43,6667.7823745,7661.949041000001,0.8766666666666667,0.07575757575757576,0.8888888888888888,0.813131313131313,0
multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,a4b860a2ee05c65a,5,1280,comparison_query,104,0.6153846153846154,0.6153846153846154,0.5480769230769231,0.28846153846153844,1271.7266666666667,1280.0,1280.0,1280,2101.43,6667.7823745,7661.949041000001,0.8766666666666667,0.07575757575757576,0.8888888888888888,0.813131313131313,0
multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,a4b860a2ee05c65a,5,1280,inference_query,89,0.8539325842696629,0.8689138576779026,0.35767790262172283,0.056179775280898875,1271.7266666666667,1280.0,1280.0,1280,2101.43,6667.7823745,7661.949041000001,0.8766666666666667,0.07575757575757576,0.8888888888888888,0.813131313131313,0
multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,a4b860a2ee05c65a,5,1280,temporal_query,71,0.5352112676056338,0.5352112676056338,0.42018779342723006,0.18309859154929578,1271.7266666666667,1280.0,1280.0,1280,2101.43,6667.7823745,7661.949041000001,0.8766666666666667,0.07575757575757576,0.8888888888888888,0.813131313131313,0
multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,ca933dcf4ef4de39,10,2560,all_answerable,264,0.75,0.7565656565656566,0.5893308080808081,0.29924242424242425,2552.0933333333332,2560.0,2560.0,2560,3955.516666666667,14363.5507295,17065.38106395,0.9233333333333333,0.011363636363636364,0.8333333333333334,0.821969696969697,0
multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,ca933dcf4ef4de39,10,2560,comparison_query,104,0.6923076923076923,0.6961538461538461,0.6442307692307693,0.40384615384615385,2552.0933333333332,2560.0,2560.0,2560,3955.516666666667,14363.5507295,17065.38106395,0.9233333333333333,0.011363636363636364,0.8333333333333334,0.821969696969697,0
multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,ca933dcf4ef4de39,10,2560,inference_query,89,0.9101123595505618,0.9250936329588015,0.5065543071161048,0.1348314606741573,2552.0933333333332,2560.0,2560.0,2560,3955.516666666667,14363.5507295,17065.38106395,0.9233333333333333,0.011363636363636364,0.8333333333333334,0.821969696969697,0
multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,ca933dcf4ef4de39,10,2560,temporal_query,71,0.6338028169014085,0.6338028169014085,0.6126760563380281,0.352112676056338,2552.0933333333332,2560.0,2560.0,2560,3955.516666666667,14363.5507295,17065.38106395,0.9233333333333333,0.011363636363636364,0.8333333333333334,0.821969696969697,0
multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,46c879463b5148b0,20,5120,all_answerable,264,0.7424242424242424,0.7508838383838384,0.7263257575757576,0.45454545454545453,5114.21,5120.0,5120.0,5120,7666.81,29225.488021,32330.965633350006,0.8533333333333334,0.003787878787878788,0.75,0.7462121212121212,0
multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,46c879463b5148b0,20,5120,comparison_query,104,0.7211538461538461,0.7211538461538461,0.7836538461538461,0.5865384615384616,5114.21,5120.0,5120.0,5120,7666.81,29225.488021,32330.965633350006,0.8533333333333334,0.003787878787878788,0.75,0.7462121212121212,0
multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,46c879463b5148b0,20,5120,inference_query,89,0.898876404494382,0.9239700374531835,0.6395131086142322,0.25842696629213485,5114.21,5120.0,5120.0,5120,7666.81,29225.488021,32330.965633350006,0.8533333333333334,0.003787878787878788,0.75,0.7462121212121212,0
