question_stratum,comparison,baseline_run_name,candidate_run_name,baseline_run_id,candidate_run_id,baseline_path,candidate_path,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,104,0.615385,0.692308,0.076923,0.009615,0.153846,0.0474,0.95,10000,13
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,104,0.615385,0.696154,0.080769,0.009615,0.157692,0.0322,0.95,10000,13
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,89,0.853933,0.910112,0.05618,0.0,0.11236,0.0658,0.95,10000,13
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,89,0.868914,0.925094,0.05618,0.0,0.11236,0.0658,0.95,10000,13
temporal_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,71,0.535211,0.633803,0.098592,0.0,0.197183,0.0574,0.95,10000,13
temporal_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,71,0.535211,0.633803,0.098592,0.0,0.197183,0.0574,0.95,10000,13
all_answerable,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,exact_match,264,0.674242,0.742424,0.068182,0.018939,0.121212,0.0114,0.95,10000,13
all_answerable,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,token_f1,264,0.679293,0.750884,0.071591,0.020833,0.123106,0.0062,0.95,10000,13
comparison_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,exact_match,104,0.615385,0.721154,0.105769,0.019231,0.192308,0.0202,0.95,10000,13
comparison_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,token_f1,104,0.615385,0.721154,0.105769,0.019231,0.192308,0.0202,0.95,10000,13
inference_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,exact_match,89,0.853933,0.898876,0.044944,-0.011236,0.11236,0.2036,0.95,10000,13
inference_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,token_f1,89,0.868914,0.92397,0.055056,-0.005618,0.120225,0.091,0.95,10000,13
temporal_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,exact_match,71,0.535211,0.577465,0.042254,-0.070423,0.15493,0.5574,0.95,10000,13
temporal_query,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,token_f1,71,0.535211,0.577465,0.042254,-0.070423,0.15493,0.5574,0.95,10000,13
