timestamp_utc,run_name,dataset,base_run_id,base_run_name,base_retriever_type,base_ndcg@10,dense_model,reranker_model,rerank_top_k,top_k,max_seq_length,batch_size,device,latency_method,model_load_seconds,sweep_wall_seconds,search_seconds,throughput_ms_per_query,rerank_latency_p50_ms,rerank_latency_p95_ms,query_latency_p50_ms,query_latency_p95_ms,run_artifact_path,per_query_metrics_path,ndcg@1,recall@1,mrr@1,map@1,ndcg@5,recall@5,mrr@5,map@5,ndcg@10,recall@10,mrr@10,map@10,ndcg@100,recall@100,mrr@100,map@100,query_latency_method
2026-09-07T01:04:59+00:00,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10,fiqa,20260831T041638Z_fiqa-dense-bge-512,fiqa_dense_bge_512,dense,0.406231,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,10,1000,512,16,mps:0,incremental_cumulative,9.086,5457.286,706.485,1090.254,1059.199,1499.124,1069.699,1519.661,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10.run.jsonl,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10.per_query.csv,0.432099,0.213376,0.432099,0.213376,0.41015,0.429779,0.511265,0.334899,0.424627,0.481352,0.51818,0.348106,0.494606,0.741472,0.525837,0.367418,component_percentile_sum
2026-09-07T01:05:01+00:00,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,fiqa,20260831T041638Z_fiqa-dense-bge-512,fiqa_dense_bge_512,dense,0.406231,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,20,1000,512,16,mps:0,incremental_cumulative,9.086,5457.286,1412.999,2180.554,2114.672,2853.989,2125.172,2874.526,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.run.jsonl,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.per_query.csv,0.436728,0.215683,0.436728,0.215683,0.41292,0.4289,0.513323,0.336912,0.435211,0.503388,0.52259,0.354811,0.497646,0.741472,0.529099,0.371507,component_percentile_sum
2026-09-07T01:05:03+00:00,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50,fiqa,20260831T041638Z_fiqa-dense-bge-512,fiqa_dense_bge_512,dense,0.406231,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,50,1000,512,16,mps:0,incremental_cumulative,9.086,5457.286,3064.019,4728.424,4540.534,6168.174,4551.034,6188.711,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50.run.jsonl,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50.per_query.csv,0.435185,0.215668,0.435185,0.215668,0.415395,0.434658,0.513555,0.337352,0.436474,0.507675,0.521967,0.354959,0.499955,0.741472,0.529521,0.373599,component_percentile_sum
2026-09-07T01:05:05+00:00,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100,fiqa,20260831T041638Z_fiqa-dense-bge-512,fiqa_dense_bge_512,dense,0.406231,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,100,1000,512,16,mps:0,incremental_cumulative,9.086,5457.286,5451.379,8412.623,8120.133,11100.627,8130.633,11121.164,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100.run.jsonl,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100.per_query.csv,0.432099,0.215797,0.432099,0.215797,0.413295,0.431859,0.509877,0.335888,0.435273,0.506571,0.518891,0.353885,0.499674,0.741472,0.526958,0.372779,component_percentile_sum
2026-09-07T01:16:29+00:00,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10,scifact,20260831T035210Z_scifact-dense-bge-512,scifact_dense_bge_512,dense,0.740391,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,10,1000,512,16,mps:0,incremental_cumulative,6.78,648.217,324.343,1081.143,1049.918,1287.337,1058.441,1352.981,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10.run.jsonl,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10.per_query.csv,0.636667,0.609111,0.636667,0.609111,0.726256,0.807889,0.706722,0.693388,0.749641,0.874222,0.714864,0.7055,0.770293,0.966667,0.718572,0.710365,component_percentile_sum
2026-09-07T01:16:30+00:00,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20,scifact,20260831T035210Z_scifact-dense-bge-512,scifact_dense_bge_512,dense,0.740391,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,20,1000,512,16,mps:0,incremental_cumulative,6.78,648.217,647.985,2159.951,2096.718,2563.882,2105.241,2629.526,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20.run.jsonl,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20.per_query.csv,0.633333,0.605778,0.633333,0.605778,0.720266,0.798444,0.702444,0.688416,0.749863,0.884333,0.712541,0.702967,0.768164,0.966667,0.715946,0.707243,component_percentile_sum
2026-09-07T01:30:00+00:00,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10,nfcorpus,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_dense_bge_512,dense,0.374376,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,10,1000,512,16,mps:0,incremental_cumulative,6.78,807.997,403.947,1250.609,1240.923,1376.025,1253.61,1391.824,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10.run.jsonl,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10.per_query.csv,0.444272,0.060203,0.455108,0.060203,0.391432,0.136938,0.549484,0.117141,0.367952,0.178382,0.557554,0.13906,0.338195,0.336722,0.562429,0.177885,component_percentile_sum
2026-09-07T01:30:01+00:00,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20,nfcorpus,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_dense_bge_512,dense,0.374376,BAAI/bge-base-en-v1.5,BAAI/bge-reranker-v2-m3,20,1000,512,16,mps:0,incremental_cumulative,6.78,807.997,807.605,2500.325,2481.289,2730.853,2493.976,2746.652,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20.run.jsonl,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20.per_query.csv,0.448916,0.062971,0.4613,0.062971,0.387538,0.137306,0.551651,0.118882,0.362334,0.176535,0.559841,0.13893,0.338347,0.336722,0.564559,0.178865,component_percentile_sum
