timestamp_utc,run_id,run_name,dataset,retriever_type,num_queries_retrieved,num_answerable_queries_scored,num_null_queries,corpus_documents,corpus_chunks,chunk_words,overlap_words,chunk_unit,corpus_text,chunks_per_document,retrieval_top_k,realized_depth_mean,realized_depth_min,realized_depth_p50,realized_depth_p95,realized_depth_max,rerank_top_k,dense_batch_size,rerank_batch_size,rerank_query_group_size,bm25_analyzer,bm25_k1,bm25_b,dense_model,dense_revision,reranker_model,reranker_revision,trust_remote_code,base_run_id,base_run_name,base_config_sha256,max_seq_length,normalize_embeddings,index_backend,device,model_load_or_index_seconds,search_seconds,wall_seconds,throughput_ms_per_query,query_latency_p50_ms,query_latency_p95_ms,latency_method,queries_sha256,corpus_sha256,config_sha256,python_version,sentence_transformers_version,torch_num_threads,torch_num_interop_threads,context_sufficiency@1,context_sufficiency@10,context_sufficiency@20,context_sufficiency@3,context_sufficiency@5,evidence_doc_recall@1,evidence_doc_recall@10,evidence_doc_recall@20,evidence_doc_recall@3,evidence_doc_recall@5,evidence_hit@1,evidence_hit@10,evidence_hit@20,evidence_hit@3,evidence_hit@5,evidence_recall@1,evidence_recall@10,evidence_recall@20,evidence_recall@3,evidence_recall@5,run_artifact_path,per_query_metrics_path,metadata_path,chunking_strategy,chunking_seconds,chunking_model,chunking_model_revision,chunking_device,chunk_artifact_path,chunk_artifact_sha256,semantic_break_percentile,semantic_min_chunk_words,base_run_artifact_sha256
2026-09-07T09:13:54+00:00,20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217,multihop_bm25_stem_w256_o64,MultiHop-RAG,bm25,2556,2255,301,609,5636,256,64,whitespace_word,title+source+published_at+body,9.254516,100,100.0,100,100.0,100.0,100,,,,,word-lower-stop-porter-v1,1.2,0.9,,,,,False,,,,,False,bm25_exact,cpu,0.059,38.37,38.748,15.012,14.612,20.842,single_query_sequential_warm_model,03cfb4926461f868684903aadc8024447bdda5bb3f6804741424cce338515bff,20b61b5ab84de84a927420c5d265b7ec8d859ae49980699958a787ade9e4d28f,e65a62178b8c0d12c468e62f70d362eeffe409d232bc2b6315849f9384ebfbba,3.13.9,6.0.0,6,12,0.0,0.321064,0.490466,0.095787,0.183149,0.308906,0.737546,0.846194,0.504989,0.600074,0.475388,0.911308,0.967627,0.704656,0.811973,0.198226,0.610163,0.743016,0.365336,0.470695,results/track_b_artifacts/20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217.run.jsonl,results/track_b_artifacts/20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217.per_query.csv,results/track_b_artifacts/20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217.metadata.json,,,,,,,,,,
2026-09-07T09:16:38+00:00,20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,MultiHop-RAG,dense,2556,2255,301,609,5636,256,64,whitespace_word,title+source+published_at+body,9.254516,100,100.0,100,100.0,100.0,100,,64,,,,,,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,,,False,,,,512,True,numpy_exact,mps:0,127.276,24.788,152.399,9.698,8.832,11.505,single_query_sequential_warm_model,03cfb4926461f868684903aadc8024447bdda5bb3f6804741424cce338515bff,20b61b5ab84de84a927420c5d265b7ec8d859ae49980699958a787ade9e4d28f,d2bc7b5a3d7f4553d0feb3b34b462dfb0db03571ba9f8b4ea7947e62e5810e51,3.13.9,6.0.0,6,12,0.0,0.151663,0.271397,0.025277,0.062528,0.264486,0.574427,0.690872,0.385107,0.455432,0.223947,0.761863,0.876718,0.503326,0.626164,0.09612,0.427827,0.562749,0.226977,0.306208,results/track_b_artifacts/20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a.run.jsonl,results/track_b_artifacts/20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a.per_query.csv,results/track_b_artifacts/20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a.metadata.json,,,,,,,,,,
2026-09-07T19:12:03+00:00,20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6,multihop_dense_bge_rerank20_w256_o64,MultiHop-RAG,rerank,2556,2255,301,609,5636,256,64,whitespace_word,title+source+published_at+body,9.254516,100,100.0,100,100.0,100.0,100,20,64,16,16,,,,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,BAAI/bge-reranker-v2-m3,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,True,20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,d2bc7b5a3d7f4553d0feb3b34b462dfb0db03571ba9f8b4ea7947e62e5810e51,512,True,numpy_exact,mps:0,6.342,5842.813,7.071,2285.92,2263.248,2783.827,checkpointed_cross_query_batch_amortized,03cfb4926461f868684903aadc8024447bdda5bb3f6804741424cce338515bff,20b61b5ab84de84a927420c5d265b7ec8d859ae49980699958a787ade9e4d28f,38b0fba62742e9f36dc5d953cb6a2747dfb6884349b2888749f129e0a13940d2,3.13.9,6.0.0,6,12,0.0,0.228381,0.271397,0.097561,0.149446,0.327125,0.646674,0.690872,0.492055,0.554767,0.524169,0.84878,0.876718,0.715299,0.783592,0.216334,0.521508,0.562749,0.369882,0.434479,results/track_b_artifacts/20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6.run.jsonl,results/track_b_artifacts/20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6.per_query.csv,results/track_b_artifacts/20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6.metadata.json,fixed,0.092,,,,cache/track_b_chunks/chunks_11d21a38aed38b31.jsonl,054c18bbbebd6f0d6cdc7bade6c7261a00ab410c7d1820f48c5c25580dc4937f,,,abe8987dc124a31ab9a917102a5ce9cb19ad7e3993d7da2f2b26144010d7862d
